,Name,Cuisines,City,Rating,NumberOfReviews
37,Smar ,"Cafe, Coffee & Tea, Desserts",AlUla,4.5,5
38,Cafe RUC ,French,AlUla,4.3,3
39,Masar Yafour Restaurant ,International,AlUla,4.5,2
40,WOOP ,"Cafe, Coffee & Tea, Fast Food",AlUla,4.3,5
41,Crustacean ,"Asian, Vietnamese",Jeddah,4.5,9
42,Forno Del Buffone ,Italian,Riyadh,4.3,8
43,Cajun Shrimp ,Seafood,Jeddah,4.5,8
44,Lexus F Club Lounge ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.2,26
45,Locatcho Pastry ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.5,9
46,Saltz Restaurant ,International,Jeddah,4.2,5
47,Alishaan ,"Chinese, Indian",Madinah,4.5,5
48,Juice Time Plus ,Juice Bar,Riyadh,3.9,5
49,Shababïk ,Lebanese,Riyadh,5.0,5
50,Saddle House ,Middle Eastern,Riyadh,5.0,5
51,Parkers ,American,Riyadh,5.0,5
52,Cultivo Cafe and Roastry ,,Makkah,5.0,16
53,In Love Coffee Cafe ,"Arabic, International",Riyadh,5.0,9
54,Shawbr Restaurant ,"American, International",Makkah,5.0,15
55,Macs Eatery ,"American, International, Mexican",Dammam,4.9,37
56,Avo Restaurant ,International,Jeddah,4.5,43
57,The Alt B Keto ,Keto,Jeddah,4.9,43
58,Taste of China ,Chinese,Jeddah,4.5,35
59,Coffee Broker ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.9,10
60,Coffee Extraction ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,14
61,Ziryab Cafe ,"Cafe, Coffee & Tea, Desserts",Makkah,4.9,17
62,Malath Coffee ,"Cafe, Coffee & Tea, Desserts",Riyadh,4.5,13
63,Burger Square ,American,Riyadh,4.9,18
64,Fish and More ,Seafood,Riyadh,4.5,13
65,Asmak Wadi El Nile ,Egyption,Riyadh,4.9,16
66,Shrimp Vibes ,Seafood,Riyadh,4.5,7
67,Asian Taste Restaurant ,"Asian, Chinese, Korean",Riyadh,4.9,16
68,Wagyumafia ,Japanese,Riyadh,4.5,14
69,Buttermilk Restaurant ,,Riyadh,4.9,16
70,Wakame ,"Japanese, Asian",Riyadh,4.5,20
71,Sushiah ,Japanese,Jeddah,4.9,14
72,Hoti,International,Jeddah,4.5,12
73,The Spice Route ,Indian,Jeddah,4.9,7
74,Mahmood Kebab ,Asian,Madinah,4.5,9
